,bhattacharyya,bhattacharyyaAngle,count,hellingerDistance,iso,kullbackLeiblerDivergence,labelAspect,labelData
9610,1.4947237803182913,1.3445608211498734,133,0.27133929498965215,ISL,0.23737295500767946,number of versions,retail areas
9611,1.7822832335669425,1.4017386383023762,97,0.12989576714242348,ISL,0.05986600119374459,timespan between versions,retail areas
9612,2.648901560246257,1.5000083608092407,151,0.700388448444576,ISL,2.137143026879601,tag value length,retail areas
9613,1.8408642671516524,1.411442529229979,133,0.16472077871825416,ISL,0.09834688276408843,number of nodes,retail areas
9614,1.8303099240312135,1.4097370545888834,2289,0.03189422920201236,ISL,0.004111547152800715,distance between nodes,retail areas
9615,1.905879126978601,1.4215510251152663,133,0.10749343200426116,ISL,0.0472042849682565,area,retail areas
9616,1.6326896894273513,1.37412767386676,84981,0.12566759423711263,ISL,0.060144079688362814,number of versions,roads
9617,1.7909131484263912,1.4032051309663582,137168,0.05909827976921881,ISL,0.014259344072263752,timespan between versions,roads
9618,1.8172366781381244,1.4075987727016608,344810,0.18453408193201523,ISL,0.1525738954720074,tag value length,roads
9619,1.8990092585720795,1.4205144112383978,84981,0.12816807525918497,ISL,0.06470692495217283,number of nodes,roads
9620,1.774458264243155,1.4003976254127257,1069192,0.01577926732819013,ISL,0.0009977466854808742,distance between nodes,roads
9621,1.8111068095697211,1.4065862317913702,84981,0.012305784749169223,ISL,0.0006066110361244051,length,roads
9622,1.6760734634406833,1.38257979839674,2361,0.08221742465031118,ISL,0.026870781691807483,number of versions,primary roads
9623,1.7585209843145795,1.3976327106280293,8830,0.031911444569048826,ISL,0.004068028543491016,timespan between versions,primary roads
9624,1.7129763395627942,1.389476139560699,18041,0.3568668001061409,ISL,0.4365191310092928,tag value length,primary roads
9625,1.879789616656302,1.4175752983214793,2361,0.18055639422561076,ISL,0.13291141463986858,number of nodes,primary roads
9626,1.826142345312862,1.409058512302874,45630,0.0370026497359145,ISL,0.005506602241399382,distance between nodes,primary roads
9627,1.8290185765575788,1.4095271147736042,2361,0.026390707767916962,ISL,0.002782544930088314,length,primary roads
9628,1.764763991537487,1.3987212039708559,2903,0.034286579782891166,ISL,0.004702735330988275,number of versions,secondary roads
9629,1.7581908497772598,1.3975749551760632,12897,0.0289549147261759,ISL,0.003367864202690035,timespan between versions,secondary roads
9630,1.7627518278005283,1.3983711395575567,20753,0.26590244520745876,ISL,0.24826365862435276,tag value length,secondary roads
9631,1.887843022745834,1.4188138846655836,2903,0.1703327134640629,ISL,0.11650446890405598,number of nodes,secondary roads
9632,1.785025292443713,1.4022060121076583,83453,0.035365465214752985,ISL,0.004986662463069577,distance between nodes,secondary roads
9633,1.831460096308085,1.4099238088060992,2903,0.02802857389758969,ISL,0.0031318363848126013,length,secondary roads
